邵氏经典,#genre#
被控告的人(1983),https://p.bvvvvvvvvv1f.com/video/beikonggaoderen/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://play.maoyanplay.top/jqp/kDR5AfKP/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/08U1vs7cnr2/video/index.m3u8
笔中情(1982),https://v.cdnlz19.com/20240223/18131_b04fc37d/2000k/hls/mixed.m3u8
波斯猫在行动(1986),https://svip.high23-playback.com/20240507/13042_9c3fd1fc/index.m3u8#https://play.xluuss.com/play/BeXK7pVd/index.m3u8
不拘小节的人(1956),https://play.xluuss.com/play/9aADPpPe/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/d78xsdN16H2/video/index.m3u8
布谷催春(1982),https://v.cdnlz17.com/20240201/107880_950fc723/2000k/hls/mixed.m3u8 
茶馆(1982),https://v.gsuus.com/play/wdLW4wbj/index.m3u8
车水马龙(1981),https://c1.rrcdnbf6.com/video/cheshuimalong/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/20/LXiaqNfKVB2/video/index.m3u8 
迟到的春天(1980),https://c1.rrcdnbf6.com/video/chidaodechuntian/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/D1TSveWzDf2/video/index.m3u8
赤橙黄绿青蓝紫(1982),https://vvip.high26-playback.com/20250719/15999_064ba0b2/index.m3u8
垂帘听政(1983),https://yzzy.play-cdn4.com/20220608/17509_b0ac20c1/1000k/hls/mixed.m3u8#https://play.xluuss.com/play/9b6V4QbE/index.m3u8
春归红楼(1981),https://v3.qrssuv.com/wjv3/202401/21/X37dm8rU6f2/video/index.m3u8#https://b2.bdzybf22.com/videos/202507/13/6872c50d8bcb3e0950b8cc3b/580536/index.m3u8
春苗(1975),https://v.cdnlz19.com/20240914/44707_49772352/index.m3u8
打铜锣_补锅(1965),https://v8.qrssv.com/202401/09/YigaEbiE2M1/video/2000k_1080/hls/index.m3u8#https://v1.qrssuv.com/wjv1/202308/20/gHXHxTq4qE2/video/index.m3u8
大鸿米店(2003),https://vip.lz-cdn3.com/20230613/19544_a83cc4db/index.m3u8#https://vip.ffzy-online1.com/20230515/38894_95060d18/index.m3u8
大侦探(1988),https://c1.rrcdnbf5.com/video/dazhentan/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://vip.lzcdn2.com/20220414/3195_ab8ae73c/index.m3u8
代号213(1984),https://v.cdnlz19.com/20240427/31450_bfd331d0/2000k/hls/mixed.m3u8 
戴手铐的旅客(1980),https://p.bvvvvvvvvv1f.com/video/daishoukaodelvke/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/LPyDVsH1hg2/video/index.m3u8
丹凤朝阳(1980),https://yzzy.play-cdn11.com/20221108/5718_aaf4792c/2000k/hls/mixed.m3u8
第九号悬案(1990),https://v.gsuus.com/play/hls/kazprMyd/index.m3u8#https://vip.ffzy-play7.com/20221113/3881_91406e34/2000k/hls/mixed.m3u8
渔岛怒潮(1977),https://play.xluuss.com/play/mepQMopa/index.m3u8
第十个弹孔(1980),https://s1.bfbfvip.com/video/dishigedankong/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://p.bvvvvvvvvv1f.com/video/dishigedankong/HD%E5%9B%BD%E8%AF%AD/index.m3u8
电梯上(1985),https://p.bvvvvvvvvv1f.com/video/diantishang/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/ZrjY3fSQQF2/video/index.m3u8
东方剑(1982),https://v.cdnlz19.com/20240419/29150_532749c5/2000k/hls/mixed.m3u8
东港谍影(1978),https://v.cdnlz19.com/20240507/32782_d0620174/index.m3u8#https://play.xluuss.com/play/mepQ7VaM/index.m3u8
都市里的村庄(1982),https://c1.rrcdnbf2.com/video/dushilidecunzhuang/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://s2.bfbfvip.com/video/dushilidecunzhuang/HD%E5%9B%BD%E8%AF%AD/index.m3u8
女飞行员(1966),https://v.gsuus.com/play/xbo2MpBa/index.m3u8
端盘子的姑娘(1981),https://c1.rrcdnbf5.com/video/duanpanzideguniang/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/z2YG9KAZjs2/video/index.m3u8
峨眉飞盗(1985),https://v.gsuus.com/play/mbkRZyYa/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/gQhddLVkp92/video/index.m3u8
